Sector,Job_Title,Company,Location,Contract,Salary,Description,URL,Salary_Clean,Description_Clean,Contract_Encoded,Location_Encoded,Sector_Encoded
Agriculture • Pêche,Alternance - Chargé·e de Formation H/F,Remy Cointreau,Paris - 75,Alternance,48649180180.0,"Nous recherchons un·e candidat·e :  Alternance - Chargé·e de Formation  Pour une alternance de 1 an, basée à Paris et démarrage septembre 2025  En tant qu'alternant·e vous aurez la charge de la création, du pilotage et de la mise en oeuvre des formations au sein du groupe. Vos missions seront :  Formation : - Piloter le plan de développement des compétences pour le site de Paris (siège) - Analyser des besoins de formation et création du plan de développement des compétences - Participer à la préparation et au pilotage du budget formation - Rechercher des prestataires, conception et lancement des formations pour l'ensemble des collaborateurs - Mettre en place des formations Groupe (du cadrage du besoin avec le business, recherche des prestataires, conception, déploiement des programmes de formation) - Mettre à jour le reporting sur les formations réalisées  Support à l'équipe Formation et Gestion de projet : - Participer à la gestion des projets formation Groupe, projets de digitalisation des formations, ingénierie pédagogique - Concevoir et préparer des actions de communication et l'établissement d'un calendrier éditorial pour les équipes Formation - Aider à l'administration des outils formation - Aider à la veille des innovations dans le domaine de la formation - Aider à la gestion des relations OPCO",https://www.hellowork.com/fr-fr/emplois/64211898.html,24324590090.0,recherchons un·e candidat·e alternance chargé·e formation alternance 1 an basée paris démarrage septembre 2025 tant qualternant·e charge création pilotage mise oeuvre formations sein groupe missions formation piloter plan développement compétences site paris siège analyser besoins formation création plan développement compétences participer préparation pilotage budget formation rechercher prestataires conception lancement formations lensemble collaborateurs mettre place formations groupe cadrage besoin business recherche prestataires conception déploiement programmes formation mettre jour reporting formations réalisées support léquipe formation gestion projet participer gestion projets formation groupe projets digitalisation formations ingénierie pédagogique concevoir préparer actions communication létablissement dun calendrier éditorial équipes formation aider ladministration outils formation aider veille innovations domaine formation aider gestion relations opco,0,452,0
BTP,Electricien H/F,Samsic Emploi,Rennes - 35,Intérim,1215.0,"Nous recherchons activement un/une electricien(nne) avec CACES Nacelle pour l'un de nos clients.  Vous êtes habilité et votre passion pour l'électricité n'a d'égale que votre professionnalisme et votre dévouement au travail de qualité ? Alors, c'est vous que nous cherchons !  Vos missions principales consisteront à : - Assurer un travail en hauteur avec votre CACES Nacelle - Utiliser vos expériences et compétences pour mener à bien l'exécution des tâches électriques diverses  Il est indispensable que vous ayez : - Des habilitations électriques à jour - Un véhicule personnel - De l'expérience pertinente dans des postes similaires SAMSIC, société socialement responsable, s'engage au quotidien pour l'emploi des personnes en situation de handicap.",https://www.hellowork.com/fr-fr/emplois/72965859.html,607.5,recherchons activement unune electriciennne caces nacelle lun clients habilité passion lélectricité na dégale professionnalisme dévouement travail qualité alors cest cherchons missions principales consisteront assurer travail hauteur caces nacelle utiliser expériences compétences mener bien lexécution tâches électriques diverses indispensable habilitations électriques jour véhicule personnel lexpérience pertinente postes similaires samsic société socialement responsable sengage quotidien lemploi personnes situation handicap,4,493,1
BTP,Ouvrier Polyvalent en Menuiserie H/F,Groupe Actual,Auterive - 31,Intérim,12361350.0,"Nous recherchons un(e) menuisier(e) expérimenté(e) pour rejoindre notre équipe dynamique à Auterive.  Nous avons besoin de fabricants en menuiserie aluminium ayant une bonne connaissance de la gamme TECHNAL. Les candidats non expérimentés mais ayant au moins 5 ans d'expérience en industrie ou dans le bâtiment sont également les bienvenus.  Nous offrons aussi des opportunités pour des étudiants motivés cherchant un job d'été. En plus, nous recherchons un chef d'équipe poseur expérimenté et un dépanneur en menuiserie autonome.  Ne manquez pas cette opportunité de développer vos compétences et de travailler dans un environnement professionnel enrichissant.",https://www.hellowork.com/fr-fr/emplois/73279815.html,6180675.0,recherchons menuisiere expérimentée rejoindre équipe dynamique auterive besoin fabricants menuiserie aluminium bonne connaissance gamme technal candidats non expérimentés moins 5 ans dexpérience industrie bâtiment également bienvenus offrons aussi opportunités étudiants motivés cherchant job dété plus recherchons chef déquipe poseur expérimenté dépanneur menuiserie autonome manquez cette opportunité développer compétences travailler environnement professionnel enrichissant,4,24,1
BTP,Stagiaire Ressources Humaines 44 H/F,Equans France,Le Bignon - 44,Stage,,"Description de l'emploi: Au quotidien, Bouygues Energies & Services - entité d'EQUANS, conçoit, installe, entretient et exploite des systèmes techniques et des services sur mesure dans plus de 30 pays. Ces services permettent aux clients de conjuguer maîtrise de leur consommation d'énergie et qualité du cadre de vie et de travail pour leurs usagers. Présent partout où l'aménagement des territoires, le cadre urbain, le cadre de travail et de vie se transforment, Bouygues Energies & Services offre à ses clients et leurs usagers une vie plus simple, confortable, économique et responsable.  Au sein de notre Direction Territoire Grand Ouest, vous participerez à notre politique ambitieuse « Relations écoles et Recrutements » dans nos métiers des Travaux Publics de Réseaux, avec pour principales missions :  - Rédiger et diffuser les offres sur les différents canaux de communication et auprès de nos partenaires, - Sourcer, pré-sélectionner et participer aux entretiens des candidat(e)s, - Garantir une expérience candidat(e) optimale, - Organiser et participer à des évènements (forums, job dating, présentation dans les écoles,...) - Promouvoir l'entreprise sur les réseaux sociaux et assurer le relationnel avec nos différents partenaires, - Suivre le reporting, - Participer à l'organisation des journées d'intégration des nouveaux collaborateurs/ices  Vous accompagnerez principalement l'intégralité de la campagne d'alternance, du sourcing à l'embauche, pour notre activité Infrastructures Réseaux Extérieurs et nos implantations en Bretagne, Pays de La Loire et Nouvelle Aquitaine.  En parallèle, vous travaillerez sur une mission de création d'un module sur mesure de formation en alternance avec un organisme partenaire sur l'un de nos métiers.  Ce stage d'une durée de 5 à 6 mois est basé au Bignon, au sud de Nantes (44).  Étudiant(e) préparant un diplôme Bac +3 à Bac +5 avec une spécialisation Ressources Humaines, vous avez déjà une première expérience dans le domaine des Ressources Humaines à travers un stage ou une alternance.  Vous faîtes preuve de curiosité, d'initiative, d'autonomie et de qualités relationnelles.  Permis B indispensable.  Vous souhaitez un stage formateur au sein d'une équipe dynamique ? N'hésitez plus !  Vous hésitez encore ? Nous avons été élus TOP EMPLOYEUR 2025 ! Pourquoi ? Car notre objectif quotidien est de permettre à nos collaborateurs d'être eux-mêmes, de se sentir bien, de s'intéresser aux gens, de grandir et de faire réussir l'entreprise ! Si vous aussi vous voulez faire partie de cette aventure, rejoignez-nous !",https://www.hellowork.com/fr-fr/emplois/73049503.html,,description lemploi quotidien bouygues energies services entité dequans conçoit installe entretient exploite systèmes techniques services mesure plus 30 pays services permettent clients conjuguer maîtrise consommation dénergie qualité cadre vie travail leurs usagers présent partout où laménagement territoires cadre urbain cadre travail vie transforment bouygues energies services offre clients leurs usagers vie plus simple confortable économique responsable sein direction territoire grand ouest participerez politique ambitieuse « relations écoles recrutements » métiers travaux publics réseaux principales missions rédiger diffuser offres différents canaux communication auprès partenaires sourcer présélectionner participer entretiens candidates garantir expérience candidate optimale organiser participer évènements forums job dating présentation écoles promouvoir lentreprise réseaux sociaux assurer relationnel différents partenaires suivre reporting participer lorganisation journées dintégration nouveaux collaborateursices accompagnerez principalement lintégralité campagne dalternance sourcing lembauche activité infrastructures réseaux extérieurs implantations bretagne pays loire nouvelle aquitaine parallèle travaillerez mission création dun module mesure formation alternance organisme partenaire lun métiers stage dune durée 5 6 mois basé bignon sud nantes 44 étudiante préparant diplôme bac 3 bac 5 spécialisation ressources humaines déjà première expérience domaine ressources humaines travers stage alternance faîtes preuve curiosité dinitiative dautonomie qualités relationnelles permis b indispensable souhaitez stage formateur sein dune équipe dynamique nhésitez plus hésitez encore élus top employeur 2025 pourquoi car objectif quotidien permettre collaborateurs dêtre euxmêmes sentir bien sintéresser gens grandir faire réussir lentreprise si aussi voulez faire partie cette aventure rejoigneznous,6,332,1
BTP,Manutentionnaire - Job Étudiant H/F,Crit,Terssac - 81,Intérim,13.0,"Dans le cadre du développement de son activité, nous recherchons pour notre client, spécialisé dans le secteur de la logistique et du transport,  Un.e Manutentionnaire H/F - Job étudiant  Vos missions : - Manutentionnaire pour le nettoyage de la ligne de production - Nettoyage sol et fosse à l'aide d'un marteau piqueur - Nettoyage sol et fosse à l'aide d'un marteau d'un karcher pour enlever les résidus de ciment séché - Respecter les consignes de sécurité et les procédures en vigueur  Informations contractuelles : - Missions pour les vendredis après-midis ou samedis matin - Rémunération : 13.79EUR brut de l'heure + Prime de nettoyage + Casse croute  Vous disposerez aussi des avantages CRIT : - Taux horaire fixe + 10% fin de mission + 10% congés payés. - Compte Epargne Temps (CET) déblocable à tout moment. - Acompte de paie hebdomadaire si besoin. - Aides diverses (via FASTT) : mutuelle, logement, garde d'enfants, etc. - Application My Crit pour un suivi facile. - Comité Social et Économique (CSE) : cartes cadeaux, remboursement chèques vacances, etc",https://www.hellowork.com/fr-fr/emplois/73040918.html,6.5,cadre développement activité recherchons client spécialisé secteur logistique transport manutentionnaire hf job étudiant missions manutentionnaire nettoyage ligne production nettoyage sol fosse laide dun marteau piqueur nettoyage sol fosse laide dun marteau dun karcher enlever résidus ciment séché respecter consignes sécurité procédures vigueur informations contractuelles missions vendredis aprèsmidis samedis matin rémunération 1379eur brut lheure prime nettoyage casse croute disposerez aussi avantages crit taux horaire fixe 10 fin mission 10 congés payés compte epargne temps cet déblocable tout moment acompte paie hebdomadaire si besoin aides diverses via fastt mutuelle logement garde denfants etc application my crit suivi facile comité social économique cse cartes cadeaux remboursement chèques vacances etc,4,582,1
BTP,Alternance-Gestionnaire Paie H/F,Lafarge France,Issy-les-Moulineaux - 92,Alternance,48649180180.0,"Pourquoi nous rejoindre ?  > Participer à la transformation d'une industrie engagée dans l'innovation et la construction durable,  > Un environnement de travail collaboratif,  > Une ambiance de travail conviviale.  > Des opportunités de développement : formation continue, programmes internes de développement, mobilité interne, accompagnement au changement de métier...  Nous recherchons un(e) Gestionnaire de Paie en alternance pour accompagner l'équipe paie dans ses missions quotidiennes et participer à des projets transverses.  Date de démarrage: au 01/02/2026  Principales responsabilités et missions :  Le/la Gestionnaire de paie sera en charge de :  - Garant de la gestion administrative de la paie en se conformant au droit du travail, au droit social et aux accords d'entreprise - Établissement d'un petit périmètre paie avec collecte des variables et des absences - Gestion de la maladie et contact avec la CPAM - Relation avec les salariés - Gestion de petits projets en relation avec le responsable paie et/ou la responsable paie adjointe - Communication - Classement - Échanges en tripartite PAIE - RRH - ADP  EXPÉRIENCE  Première expérience en paie appréciée (stage, job étudiant, alternance)  QUALIFICATIONS  - De formation: de Bac +2 à Bac +5 - Sensibilité au droit social et à la réglementation paie. - Capacité à apprendre rapidement des processus techniques.  COMPÉTENCES & CONNAISSANCES  - Savoir-Faire  - Compréhension des processus paie (collecte variables, absences, maladie). - Rigueur dans le traitement administratif. - Fort intérêt pour les sujets paie / RH  - Savoir-Être  - Rigueur - Capacité d'analyse - Adaptabilité - Sens de l'organisation - Bon relationnel et sens de la communication - Force de proposition  PROCESSUS DE RECRUTEMENT :  1. Ma candidature est présélectionnée  2. Un contact téléphonique de première approche m'est proposé  3. Je rencontre des professionnels du recrutement et des opérationnels (présentiel ou visio)  4. Ma candidature est retenue,  5. Bienvenue chez Lafarge !  Notre société encourage la diversité sous toutes ses formes et s'est engagée dans une démarche en faveur de l'emploi des personnes en situation de handicap.  Le groupe Holcim, leader mondial des matériaux de construction, occupe une position de premier plan dans chacune de ses activités (ciments, granulats, bétons).  En France, Lafarge, filiale du groupe Holcim, compte près de 4 200 salariés et plus de 419 sites répartis sur l'ensemble du territoire. Nous proposons des matériaux et des solutions innovantes pour construire durablement et contribuer à améliorer les villes : infrastructures, hôpitaux, bureaux, logements collectifs et individuels, maisons basse consommation... Engagé dans une démarche d'économie circulaire et de développement durable, le groupe Holcim agit en faveur de la biodiversité, de l'économie d'énergie ou encore de la préservation des ressources naturelles.",https://www.hellowork.com/fr-fr/emplois/72976198.html,24324590090.0,pourquoi rejoindre participer transformation dune industrie engagée linnovation construction durable environnement travail collaboratif ambiance travail conviviale opportunités développement formation continue programmes internes développement mobilité interne accompagnement changement métier recherchons gestionnaire paie alternance accompagner léquipe paie missions quotidiennes participer projets transverses date démarrage 01022026 principales responsabilités missions lela gestionnaire paie charge garant gestion administrative paie conformant droit travail droit social accords dentreprise établissement dun petit périmètre paie collecte variables absences gestion maladie contact cpam relation salariés gestion petits projets relation responsable paie etou responsable paie adjointe communication classement échanges tripartite paie rrh adp expérience première expérience paie appréciée stage job étudiant alternance qualifications formation bac 2 bac 5 sensibilité droit social réglementation paie capacité apprendre rapidement processus techniques compétences connaissances savoirfaire compréhension processus paie collecte variables absences maladie rigueur traitement administratif fort intérêt sujets paie rh savoirêtre rigueur capacité danalyse adaptabilité sens lorganisation bon relationnel sens communication force proposition processus recrutement 1 candidature présélectionnée 2 contact téléphonique première approche mest proposé 3 rencontre professionnels recrutement opérationnels présentiel visio 4 candidature retenue 5 bienvenue chez lafarge société encourage diversité sous toutes formes sest engagée démarche faveur lemploi personnes situation handicap groupe holcim leader mondial matériaux construction occupe position premier plan chacune activités ciments granulats bétons france lafarge filiale groupe holcim compte près 4 200 salariés plus 419 sites répartis lensemble territoire proposons matériaux solutions innovantes construire durablement contribuer améliorer villes infrastructures hôpitaux bureaux logements collectifs individuels maisons basse consommation engagé démarche déconomie circulaire développement durable groupe holcim agit faveur biodiversité léconomie dénergie encore préservation ressources naturelles,0,291,1
BTP,Plaquiste N3 - N4 H/F,Samsic Emploi,Rennes - 35,Intérim,1315.0,"Notre agence Samsic Emploi BTP recrute pour l'un de nos clients un/une Plaquiste Expérimenté(e) dans le cadre d'une mission durant laquelle vous serez amené à travailler sur plusieurs chantiers situés à Rennes et ses environs.  Vos missions seront les suivantes : - Pose des panneaux préfabriqués (agglos, placo-plâtres, béton cellulaire...). - Montage des cloisons, des sols, des faux-plafonds. - Maîtrise des outils : équerre, niveau, perceuses. - Implanter une zone de chantier. - Sécuriser une zone de chantier. - Identification des matériaux et des différentes sortes de plaques de plâtre.  Salaire selon profil et expériences  Vos avantages chez SAMSIC : - Compte épargne temps (épargne salariale), - CSE - Places match de foot - Mutuelle  SAMSIC, société socialement responsable, s'engage au quotidien pour l'emploi des personnes en situation de handicap.",https://www.hellowork.com/fr-fr/emplois/72965909.html,657.5,agence samsic emploi btp recrute lun clients unune plaquiste expérimentée cadre dune mission durant laquelle amené travailler plusieurs chantiers situés rennes environs missions suivantes pose panneaux préfabriqués agglos placoplâtres béton cellulaire montage cloisons sols fauxplafonds maîtrise outils équerre niveau perceuses implanter zone chantier sécuriser zone chantier identification matériaux différentes sortes plaques plâtre salaire selon profil expériences avantages chez samsic compte épargne temps épargne salariale cse places match foot mutuelle samsic société socialement responsable sengage quotidien lemploi personnes situation handicap,4,493,1
BTP,Magasinier Cariste CACES 3 H/F,Samsic Emploi,Alès - 30,Intérim,1188.0,"Samsic Emploi est à la recherche d'un poste de Magasinier Cariste dédié et compétent. Si vous avez un intérêt particulier pour le secteur du Bâtiment - BTP et une expérience substantielle du terrain, cette offre pourrait être l'occasion idéale pour vous. Vos missions principales seront  - Gérer avec efficacité et organisation le stock - Accueillir, conseiller et servir nos précieux clients - Préparer les commandes en respectant les procédures établies - Exécuter les opérations de chargement et de déchargement - Assurer la gestion informatique des stocks - Veiller à la propreté et à la sécurité de l'entrepôt  Nous attendons de vous que vous soyez dynamique et organisé(e), capable de travailler en équipe et maîtrisant les outils informatiques. L'esprit d'équipe, la rigueur et le sens de l'organisation seront des atouts précieux pour réussir dans cette fonction. SAMSIC, société socialement responsable, s'engage au quotidien pour l'emploi des personnes en situation de handicap.",https://www.hellowork.com/fr-fr/emplois/73441967.html,594.0,samsic emploi recherche dun poste magasinier cariste dédié compétent si intérêt particulier secteur bâtiment btp expérience substantielle terrain cette offre pourrait être loccasion idéale missions principales gérer efficacité organisation stock accueillir conseiller servir précieux clients préparer commandes respectant procédures établies exécuter opérations chargement déchargement assurer gestion informatique stocks veiller propreté sécurité lentrepôt attendons dynamique organisée capable travailler équipe maîtrisant outils informatiques lesprit déquipe rigueur sens lorganisation atouts précieux réussir cette fonction samsic société socialement responsable sengage quotidien lemploi personnes situation handicap,4,9,1
BTP,Facadier Experimente H/F,Samsic Emploi,Limoux - 11,CDI,19002500.0,"Vous êtes à la recherche d'une nouvelle aventure professionnelle dans le secteur du bâtiment ? Nous avons une belle opportunité pour vous. Notre client recrute un Façadier (H/F) avec une expérience en maçonnerie pour rejoindre une entreprise historique de Limoux.  Description de poste Dans ce rôle, vous intégrez une équipe dynamique composée de 4 à 5 personnes et vous bénéficierez d'une formation et d'une intégration rapides avant la prise de poste définitive prévue pour janvier 2026. Les horaires de travail seront en journée, assurant un bon équilibre entre vie professionnelle et personnelle.  Les missions essentielles attendues du poste incluent : - Réalisation de travaux de façade et d'embellissement. - Application de mortier, plâtre et autres matériaux de finition. - Préparation des surfaces et de l'environnement de travail. - Collaboration avec vos collègues pour garantir la qualité du travail effectué. - Respect des normes de sécurité et des délais impartis. SAMSIC, société socialement responsable, s'engage au quotidien pour l'emploi des personnes en situation de handicap.",https://www.hellowork.com/fr-fr/emplois/72475915.html,9501250.0,recherche dune nouvelle aventure professionnelle secteur bâtiment belle opportunité client recrute façadier hf expérience maçonnerie rejoindre entreprise historique limoux description poste rôle intégrez équipe dynamique composée 4 5 personnes bénéficierez dune formation dune intégration rapides avant prise poste définitive prévue janvier 2026 horaires travail journée assurant bon équilibre entre vie professionnelle personnelle missions essentielles attendues poste incluent réalisation travaux façade dembellissement application mortier plâtre autres matériaux finition préparation surfaces lenvironnement travail collaboration collègues garantir qualité travail effectué respect normes sécurité délais impartis samsic société socialement responsable sengage quotidien lemploi personnes situation handicap,2,354,1
BTP,Stage Bac+2 - Surveillant de Travaux Systèmes - Métro d H/F,Egis Groupe,Lyon - 69,Stage,,"Dans le cadre du projet de modernisation du métro automatique de la ligne D de Lyon, nous recherchons un(e) alternant(e) pour un poste de Surveillant Travaux Systèmes.  Vous rejoindrez l'équipe de Maîtrise d'oeuvre des systèmes de Modernisation de la ligne D de Lyon. Vous êtes dans une équipe projet et piloté par le responsable marché en charge de superviser la réalisation des travaux systèmes sur notamment la ligne de métro D.  Vos principales missions seront les suivantes :  - Réaliser le suivi général du chantier (gestion, planification, avancement) - Superviser au quotidien le bon déroulement des activités de travaux des marchés Systèmes (HT/BT, Traction, Courant faibles, Automatismes, SQV), en coordination avec les acteurs de l'opération - Veiller à la conformité de l'exécution des travaux menés par les entreprises relativement aux prescriptions de leurs contrats - Vérifier la bonne application des procédures et des contrôles associés - Contrôler le respect du planning et les avancements physiques proposés par les entreprises - Vérifier le respect des interfaces avec les marchés tiers externes ou internes et participer aux constats contradictoires d'interface Infrastructure / Systèmes (délais de mise à disposition) - Veiller au respect des règles d'hygiène et de sécurité sur les chantiers, - Participer aux réunions de chantier - Assurer le suivi administratif du chantier, - Préparer et diffuser le reporting auprès du coordonnateur systèmes secteur et des responsables de marché.  Vous intervenez également en appui des responsables de marché en prenant part notamment aux activités suivantes :  - Effectuer le suivi des réceptions et des levées de réserves - Visa des documents de méthodes d'exécution, procédures et plans d'emprises - Diagnostic et contrôle sur site - Participation à des réunions avec les titulaires de marché",https://www.hellowork.com/fr-fr/emplois/68381072.html,,cadre projet modernisation métro automatique ligne lyon recherchons alternante poste surveillant travaux systèmes rejoindrez léquipe maîtrise doeuvre systèmes modernisation ligne lyon équipe projet piloté responsable marché charge superviser réalisation travaux systèmes notamment ligne métro principales missions suivantes réaliser suivi général chantier gestion planification avancement superviser quotidien bon déroulement activités travaux marchés systèmes htbt traction courant faibles automatismes sqv coordination acteurs lopération veiller conformité lexécution travaux menés entreprises relativement prescriptions leurs contrats vérifier bonne application procédures contrôles associés contrôler respect planning avancements physiques proposés entreprises vérifier respect interfaces marchés tiers externes internes participer constats contradictoires dinterface infrastructure systèmes délais mise disposition veiller respect règles dhygiène sécurité chantiers participer réunions chantier assurer suivi administratif chantier préparer diffuser reporting auprès coordonnateur systèmes secteur responsables marché intervenez également appui responsables marché prenant part notamment activités suivantes effectuer suivi réceptions levées réserves visa documents méthodes dexécution procédures plans demprises diagnostic contrôle site participation réunions titulaires marché,6,375,1
